Hospital,CCN,State,453,454,455,456,457,458,459,460,471,472,473,Hospital_Normalized,Average_Base_Rate,Positive_DRG_Count,CMS_Hospital_Name,CMS_State,CMS_City,CMS_Star_Rating,CMS_Normalized_Name,CMS_Match_Method,CMS_Name_Match_Score,Blue_Distinction,Blue_Distinction_Type,BCBS_Matched_Name,BCBS_Match_Score,BCBS_Match_Method
Connally Memorial Medical Center,450108,TX,11707,11318,11859,11826,11768,12347,10516,12058,11128,10892,10535,CONNALLY MEMORIAL MED CTR,11450.363636363636,11,CONNALLY MEMORIAL MEDICAL CENTER,TX,FLORESVILLE,3.0,CONNALLY MEMORIAL MED CTR,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
Midland Memorial Hospital,450133,TX,5078,7357,9393,5338,7407,9311,6785,9731,9126,9250,9177,MIDLAND MEMORIAL HOSPITAL,7995.727272727273,11,MIDLAND MEMORIAL HOSPITAL,TX,MIDLAND,1.0,MIDLAND MEMORIAL HOSPITAL,CCN,,Yes,BDC,Midland Memorial Hospital,100.0,Exact normalized name
Baylor Scott & White All Saints Medical Center - Fort Worth,450137,TX,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,BAYLOR SCOTT AND WHITE ALL STS MED CTR FORT WORTH,11762.0,11,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,TX,FORT WORTH,4.0,BAYLOR SCOTT AND WHITE ALL STS MED CTR,CCN,,No,,Baylor University Medical Center,71.8,Fuzzy name
Texas Health Cleburne,450148,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH CLEBURNE,32096.090909090908,10,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,TX,CLEBURNE,5.0,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,CCN,,No,,Texas Health Hospital Frisco,72.7,Fuzzy name
Adventhealth Central Texas,450152,TX,11404,10758,11227,11574,11518,11129,11099,11631,10908,11056,10969,ADVENTHEALTH CENTRAL TEXAS,11206.636363636364,11,ADVENTHEALTH CENTRAL TEXAS,TX,KILLEEN,3.0,ADVENTHEALTH CENTRAL TEXAS,CCN,,No,,Texas Health Hospital Frisco,59.3,Fuzzy name
Grace Surgical Hospital,450162,TX,18002,17353,18115,17466,17315,18510,17427,17940,18006,18272,18116,GRACE SURGICAL HOSPITAL,17865.636363636364,11,GRACE SURGICAL HOSPITAL,TX,LUBBOCK,,GRACE SURGICAL HOSPITAL,CCN,,Review,BDC,Bs&W Surgical Hospital Fort Worth,85.0,Fuzzy name
Ut Health East Texas Jacksonville Hospital,450194,TX,17441,16812,17551,16922,16775,17933,16884,17381,17287,17542,17393,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,17265.545454545456,11,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,TX,JACKSONVILLE,,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,CCN,,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Medical City Weatherford,450203,TX,14637,14109,14729,14201,14078,15050,14169,14587,14508,14722,14597,MEDICAL CITY WEATHERFORD,14489.727272727272,11,MEDICAL CITY WEATHERFORD,TX,WEATHERFORD,2.0,MEDICAL CITY WEATHERFORD,CCN,,No,,Medical City Dallas,77.4,Fuzzy name
Ut Health East Texas Carthage Hospital,450210,TX,0,0,0,0,0,0,0,0,0,0,0,UT HEALTH EAST TEXAS CARTHAGE HOSPITAL,0.0,0,UT HEALTH EAST TEXAS CARTHAGE HOSPITAL,TX,CARTHAGE,5.0,UT HEALTH EAST TEXAS CARTHAGE HOSPITAL,CCN,,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Hca Houston Healthcare Conroe,450222,TX,13842,13299,13859,13620,14274,14754,13554,22084,13624,13794,13775,HCA HOUSTON HEALTHCARE CONROE,14589.0,11,HCA HOUSTON HEALTHCARE CONROE,TX,CONROE,2.0,HCA HOUSTON HEALTHCARE CONROE,CCN,,No,,HOUSTON METHODIST SUGAR LAND HOSP,54.8,Fuzzy name
