Hospital,CCN,State,453,454,455,456,457,458,459,460,471,472,473,Hospital_Normalized,Average_Base_Rate,Positive_DRG_Count,CMS_Hospital_Name,CMS_State,CMS_City,CMS_Star_Rating,CMS_Normalized_Name,CMS_Match_Method,CMS_Name_Match_Score,Blue_Distinction,Blue_Distinction_Type,BCBS_Matched_Name,BCBS_Match_Score,BCBS_Match_Method
Baylor Scott & White Medical Center - Frisco,450853,TX,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,BAYLOR SCOTT AND WHITE MED CTR FRISCO,11861.0,11,BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO,TX,FRISCO,3.0,BAYLOR SCOTT AND WHITE MED CTR FRISCO,CCN,,Review,BDC,BS&W MEDICAL CENTER FRISCO,87.8,Fuzzy name
South Texas Spine & Surgical Hospital,450856,TX,12805,12303,12821,12600,13205,13649,12538,13271,12603,12761,12743,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,12845.363636363636,11,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,TX,SAN ANTONIO,,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,CCN,,Yes,BDC+,SOUTH TEXAS SPINE & SURGICAL HOSP,94.6,Fuzzy name
Memorial Hermann Surgical Hospital First Colony,450860,TX,9308,8943,9319,9159,9598,9921,9114,9646,9161,9276,9263,MEMORIAL HERMANN SURGICAL HOSPITAL FIRST COLONY,9337.09090909091,11,SUGAR LAND SURGICAL HOSPITAL LLP,TX,SUGAR LAND,,SUGAR LAND SURGICAL HOSPITAL LLP,CCN,,Yes,BDC,MEMORIAL HERMANN SW HOSPITAL,94.3,Fuzzy name
Baylor Scott & White Texas Spine & Joint Hospital,450864,TX,10062,10062,10062,10062,10062,10062,10062,10062,10062,10062,10062,BAYLOR SCOTT AND WHITE TEXAS SPINE AND JOINT HOSPITAL,10062.0,11,BAYLOR SCOTT & WHITE TEXAS SPINE & JOINT HOSPITAL,TX,TYLER,5.0,BAYLOR SCOTT AND WHITE TEXAS SPINE AND JOINT HOSPITAL,CCN,,Yes,BDC+,BS&W TEXAS SPINE & JOINT HOSPITAL,92.3,Fuzzy name
Arise Austin Medical Center,450871,TX,6138,12045,13564,11977,11202,19557,11918,15267,6034,6112,6107,ARISE AUSTIN MED CTR,10901.90909090909,11,,,,,,No match,82.4,No,,Ascension Seton Med Center Austin,67.9,Fuzzy name
"Usmd Hospital At Arlington, L.p.",450872,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,USMD HOSPITAL ARLINGTON L P,32096.090909090908,10,USMD HOSPITAL AT ARLINGTON L P,TX,ARLINGTON,,USMD HOSPITAL ARLINGTON L P,CCN,,Yes,BDC,USMD Hospital at Arlington LP,98.1,Fuzzy name
Baylor Scott & White Surgical Hospital - Las Colinas,450874,TX,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL LAS COLINAS,11861.0,11,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS,TX,IRVING,,BAYLOR SURGICAL HOSPITAL LAS COLINAS,CCN,,Review,BDC,BAYLOR SURGICAL HOSP LAS COLINAS,91.5,Fuzzy name
"Physicians Surgical Hospitals, Llc",450875,TX,11851,11389,11883,11652,12225,12649,11594,12281,11650,11801,11793,PHYSICIANS SURGICAL HOSPITALS LLC,11888.0,11,QUAIL CREEK SURGICAL HOSPITAL,TX,AMARILLO,,QUAIL CREEK SURGICAL HOSPITAL,CCN,,Yes,BDC+,PHYSICIANS SURGICAL HOSPITALS LLC,100.0,Exact normalized name
Lubbock Heart Hospital,450876,TX,12598,12104,12614,12396,12991,13428,12335,13056,12399,12554,12537,LUBBOCK HEART HOSPITAL,12637.454545454546,11,LUBBOCK HEART HOSPITAL LP,TX,LUBBOCK,2.0,LUBBOCK HEART HOSPITAL LP,CCN,,No,,USMD Hospital at Arlington LP,62.5,Fuzzy name
Baylor Scott & White Surgical Hospital - Fort Worth,450880,TX,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL FORT WORTH,11861.0,11,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL FORTWORTH,TX,FORT WORTH,,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL FORTWORTH,CCN,,Yes,BDC,Bs&W Surgical Hospital Fort Worth,92.8,Fuzzy name
Baylor Scott & White Medical Center - Trophy Club,450883,TX,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,BAYLOR SCOTT AND WHITE MED CTR TROPHY CLUB,11861.0,11,BAYLOR MEDICAL CENTER AT TROPHY CLUB,TX,TROPHY CLUB,,BAYLOR MED CTR TROPHY CLUB,CCN,,No,,Baylor University Medical Center,71.8,Fuzzy name
Baylor Scott & White Medical Center - Centennial,450885,TX,10941,10941,10941,10941,10941,10941,10941,10941,10941,10941,10941,BAYLOR SCOTT AND WHITE MED CTR CENTENNIAL,10941.0,11,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,TX,FRISCO,5.0,BAYLOR SCOTT AND WHITE MED CTR CENTENNIAL,CCN,,No,,Baylor University Medical Center,71.8,Fuzzy name
Texas Health Harris Methodist Hospital Southlake,450888,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,32096.090909090908,10,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,TX,SOUTHLAKE,,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,CCN,,Yes,BDC,Methodist Southlake Hospital,100.0,Fuzzy name
Texas Institute For Surgery At Presbyterian Hospital Dallas,450889,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS INSTITUTE FOR SURGERY PRESBYTERIAN HOSPITAL DALLAS,32096.090909090908,10,TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT,TX,DALLAS,,TEXAS INSTITUTE FOR SURGERY PRESBYTERIAN HOSPIT,CCN,,No,,METHODIST HOSPITAL FOR SURGERY,80.0,Fuzzy name
Baylor Scott & White Medical Center - Plano,450890,TX,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,BAYLOR SCOTT AND WHITE MED CTR PLANO,11762.0,11,BAYLOR SCOTT & WHITE MEDICAL CENTER PLANO,TX,PLANO,4.0,BAYLOR SCOTT AND WHITE MED CTR PLANO,CCN,,No,,Baylor University Medical Center,71.8,Fuzzy name
Texas Health Center For Diagnostics & Surgery Plano,450891,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH CENTER FOR DIAGNOSTICS AND SURGERY PLANO,32096.090909090908,10,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLAN,TX,PLANO,,TEXAS HEALTH CENTER FOR DIAGNOSTICS AND SURGERY PLAN,CCN,,No,,Texas Health Hospital Frisco,60.0,Fuzzy name
Thhbp Management Company Llc,450893,TX,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,THHBP MANAGEMENT COMPANY LLC,12230.0,11,THE HEART HOSPITAL BAYLOR DENTON,TX,DENTON,5.0,HEART HOSPITAL BAYLOR DENTON,CCN,,No,,LEGENT ORTHOPEDIC HOSPITAL,48.1,Fuzzy name
Parmer county community hospital,451300,TX,0,0,0,0,0,0,0,0,0,0,0,PARMER COUNTY COMMUNITY HOSPITAL,0.0,0,PARMER COUNTY COMMUNITY HOSPITAL,TX,FRIONA,,PARMER COUNTY COMMUNITY HOSPITAL,CCN,,No,,Methodist Southlake Hospital,60.0,Fuzzy name
Muenster memorial hospital,451335,TX,0,0,0,0,0,0,0,0,0,0,0,MUENSTER MEMORIAL HOSPITAL,0.0,0,MUENSTER MEMORIAL HOSPITAL,TX,MUENSTER,,MUENSTER MEMORIAL HOSPITAL,CCN,,No,,Midland Memorial Hospital,81.0,Fuzzy name
Throckmorton County Memorial Hosp,451339,TX,4287,4144,4343,4330,4309,4521,3851,4415,4075,3988,3857,THROCKMORTON COUNTY MEMORIAL HOSP,4192.727272727273,11,THROCKMORTON COUNTY MEMORIAL HOSPITAL,TX,THROCKMORTON,,THROCKMORTON COUNTY MEMORIAL HOSPITAL,CCN,,No,,TX Health Arlington Memorial Hosp,60.6,Fuzzy name
Golden plains community hospital,451369,TX,6237,5992,6244,6137,6431,6648,6107,6464,6138,6215,6207,GOLDEN PLAINS COMMUNITY HOSPITAL,6256.363636363636,11,GOLDEN PLAINS COMMUNITY HOSPITAL,TX,BORGER,,GOLDEN PLAINS COMMUNITY HOSPITAL,CCN,,No,,Midland Memorial Hospital,59.6,Fuzzy name
Texas Health Specialty Hospital Forth Worth,452018,TX,0,0,0,0,0,0,0,0,0,0,0,TEXAS HEALTH SPECIALTY HOSPITAL FORTH WORTH,0.0,0,,,,,,No match,85.7,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Select Specialty Hospital- Dallas,452022,TX,0,0,0,0,0,0,0,0,0,0,0,SELECT SPECIALTY HOSPITAL DALLAS,0.0,0,,,,,,No match,80.0,No,,Legent Hospital for Special Sx,67.7,Fuzzy name
Kindred Hospital Tarrant County,452028,TX,0,0,0,0,0,0,0,0,0,0,0,KINDRED HOSPITAL TARRANT COUNTY,0.0,0,,,,,,No match,85.7,No,,DOCTORS HOSPITAL AT RENAISSANCE,57.6,Fuzzy name
Continuecare Hospital At Hendrick Medical Center,452029,TX,5642,8175,10856,5932,8230,11035,7539,13669,10165,16918,18958,CONTINUECARE HOSPITAL HENDRICK MED CTR,10647.181818181818,11,MEDICAL CENTER HOSPITAL,TX,ODESSA,3.0,MED CTR HOSPITAL,Exact/fuzzy hospital name,100.0,Yes,BDC+,HENDRICK MEDICAL CENTER,100.0,Fuzzy name
Cornerstone Specialty Hospitals Clear Lake,452032,TX,0,0,0,0,0,0,0,0,0,0,0,CORNERSTONE SPECIALTY HOSPITALS CLEAR LAKE,0.0,0,,,,,,No match,70.5,No,,Legent Hospital for Special Sx,61.1,Fuzzy name
Texas Neurorehab Center,452038,TX,0,0,0,0,0,0,0,0,0,0,0,TEXAS NEUROREHAB CENTER,0.0,0,,,,,,No match,68.6,No,,Texoma Medical Center,54.1,Fuzzy name
Carrus Specialty Hospital,452041,TX,0,0,0,0,0,0,0,0,0,0,0,CARRUS SPECIALTY HOSPITAL,0.0,0,,,,,,No match,83.7,No,,Legent Hospital for Special Sx,65.5,Fuzzy name
Christus Dubuis Hospital Of Beaumont,452042,TX,0,0,0,0,0,0,0,0,0,0,0,CHRISTUS DUBUIS HOSPITAL BEAUMONT,0.0,0,,,,,,No match,81.0,No,,HOUSTON METHODIST WEST HOSPITAL,59.4,Fuzzy name
Lifecare Hospitals Of North Texas,452044,TX,0,0,0,0,0,0,0,0,0,0,0,LIFECARE HOSPITALS NORTH TEXAS,0.0,0,,,,,,No match,82.1,No,,TEXAS ORTHOPEDIC HOSPITAL,69.1,Fuzzy name
Cornerstone Specialty Hospitals Houston Medical Center,452046,TX,0,0,0,0,0,0,0,0,0,0,0,CORNERSTONE SPECIALTY HOSPITALS HOUSTON MED CTR,0.0,0,,,,,,No match,90.9,No,,Texoma Medical Center,66.7,Fuzzy name
Ut Health East Texas Long Term Acute Care,452051,TX,0,0,0,0,0,0,0,0,0,0,0,UT HEALTH EAST TEXAS LONG TERM ACUTE CARE,0.0,0,,,,,,No match,72.9,No,,Texas Health Hospital Frisco,60.0,Fuzzy name
Pam Specialty Hospital Of Victoria South,452056,TX,0,0,0,0,0,0,0,0,0,0,0,PAM SPECIALTY HOSPITAL VICTORIA SOUTH,0.0,0,,,,,,No match,80.0,No,,Legent Hospital for Special Sx,59.7,Fuzzy name
"Nexus Specialty Hospital - The Woodlands, Ltd.",452057,TX,0,0,0,0,0,0,0,0,0,0,0,NEXUS SPECIALTY HOSPITAL WOODLANDS LTD,0.0,0,THE WOODLANDS SPECIALTY HOSPITAL,TX,SPRING,,WOODLANDS SPECIALTY HOSPITAL,Exact/fuzzy hospital name,100.0,No,,Chi St Lukes The Woodlands Hsptl,66.7,Fuzzy name
Pam Specialty Hospital Of San Antonio Medical Center,452059,TX,0,0,0,0,0,0,0,0,0,0,0,PAM SPECIALTY HOSPITAL SAN ANTONIO MED CTR,0.0,0,MEDICAL CENTER HOSPITAL,TX,ODESSA,3.0,MED CTR HOSPITAL,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Pam Specialty Hospital Of Texarkana North,452061,TX,0,0,0,0,0,0,0,0,0,0,0,PAM SPECIALTY HOSPITAL TEXARKANA NORTH,0.0,0,,,,,,No match,80.0,No,,NORTH CENTRAL BAPTIST HOSPITAL,67.6,Fuzzy name
Kpc Promise Hospital Of Dallas Llc,452067,TX,0,0,0,0,0,0,0,0,0,0,0,KPC PROMISE HOSPITAL DALLAS LLC,0.0,0,,,,,,No match,80.0,No,,PHYSICIANS SURGICAL HOSPITALS LLC,56.2,Fuzzy name
Kpc Promise Hospital Of Wichita Falls Llc,452068,TX,0,0,0,0,0,0,0,0,0,0,0,KPC PROMISE HOSPITAL WICHITA FALLS LLC,0.0,0,,,,,,No match,80.0,No,,PHYSICIANS SURGICAL HOSPITALS LLC,59.2,Fuzzy name
Kindred Hospital - San Antonio Central,452073,TX,0,0,0,0,0,0,0,0,0,0,0,KINDRED HOSPITAL SAN ANTONIO CENTRAL,0.0,0,,,,,,No match,80.0,No,,NORTH CENTRAL BAPTIST HOSPITAL,69.7,Fuzzy name
Kindred Hospital Clear Lake,452075,TX,0,0,0,0,0,0,0,0,0,0,0,KINDRED HOSPITAL CLEAR LAKE,0.0,0,,,,,,No match,82.6,No,,Midland Memorial Hospital,61.5,Fuzzy name
Kindred Hospital El Paso,452079,TX,0,0,0,0,0,0,0,0,0,0,0,KINDRED HOSPITAL EL PASO,0.0,0,,,,,,No match,82.4,No,,Midland Memorial Hospital,61.2,Fuzzy name
Pam Specialty Hospital Of Corpus Christi North,452086,TX,0,0,0,0,0,0,0,0,0,0,0,PAM SPECIALTY HOSPITAL CORPUS CHRISTI NORTH,0.0,0,,,,,,No match,80.0,No,,NORTH CENTRAL BAPTIST HOSPITAL,63.6,Fuzzy name
Select Specialty Hospital Longview,452087,TX,0,0,0,0,0,0,0,0,0,0,0,SELECT SPECIALTY HOSPITAL LONGVIEW,0.0,0,,,,,,No match,80.0,No,,Legent Hospital for Special Sx,68.8,Fuzzy name
Pam Specialty Hospital Of San Antonio,452090,TX,0,0,0,0,0,0,0,0,0,0,0,PAM SPECIALTY HOSPITAL SAN ANTONIO,0.0,0,,,,,,No match,80.0,No,,Legent Hospital for Special Sx,62.5,Fuzzy name
Tyler Continuecare Hospital,452091,TX,0,0,0,0,0,0,0,0,0,0,0,TYLER CONTINUECARE HOSPITAL,0.0,0,,,,,,No match,80.0,No,,TEXAS ORTHOPEDIC HOSPITAL,61.5,Fuzzy name
Solara Specialty Hospitals Mcallen,452095,TX,0,0,0,0,0,0,0,0,0,0,0,SOLARA SPECIALTY HOSPITALS MCALLEN,0.0,0,,,,,,No match,72.7,No,,Legent Hospital for Special Sx,62.5,Fuzzy name
Laredo Specialty Hospital,452096,TX,0,0,0,0,0,0,0,0,0,0,0,LAREDO SPECIALTY HOSPITAL,0.0,0,,,,,,No match,83.7,No,,Legent Hospital for Special Sx,69.1,Fuzzy name
Vibra Specialty Hospital,452097,TX,0,0,0,0,0,0,0,0,0,0,0,VIBRA SPECIALTY HOSPITAL,0.0,0,,,,,,No match,85.7,No,,Midland Memorial Hospital,65.3,Fuzzy name
Mesquite Specialty Hospital,452100,TX,0,0,0,0,0,0,0,0,0,0,0,MESQUITE SPECIALTY HOSPITAL,0.0,0,,,,,,No match,80.0,No,,Legent Hospital for Special Sx,66.7,Fuzzy name
Solara Specialty Hospitals Harlingen,452101,TX,0,0,0,0,0,0,0,0,0,0,0,SOLARA SPECIALTY HOSPITALS HARLINGEN,0.0,0,,,,,,No match,69.2,No,,USMD Hospital at Arlington LP,64.5,Fuzzy name
Covenant Specialty Hospital,452102,TX,0,0,0,0,0,0,0,0,0,0,0,COVENANT SPECIALTY HOSPITAL,0.0,0,,,,,,No match,80.0,No,,Legent Hospital for Special Sx,73.7,Fuzzy name
Baylor Scott & White Continuing Care Hospital,452105,TX,0,0,0,0,0,0,0,0,0,0,0,BAYLOR SCOTT AND WHITE CONTINUING CARE HOSPITAL,0.0,0,,,,,,No match,88.6,No,,BS&W TEXAS SPINE & JOINT HOSPITAL,58.5,Fuzzy name
Cornerstone Specialty Hospitals Conroe,452107,TX,0,0,0,0,0,0,0,0,0,0,0,CORNERSTONE SPECIALTY HOSPITALS CONROE,0.0,0,,,,,,No match,74.6,No,,PHYSICIANS SURGICAL HOSPITALS LLC,56.3,Fuzzy name
Horizon Medical Center Of Denton,452111,TX,0,0,0,0,0,0,0,0,0,0,0,HORIZON MED CTR DENTON,0.0,0,,,,,,No match,73.7,No,,EMINENT MEDICAL CENTER OPERATING,68.1,Fuzzy name
Houston Methodist Continuing Care Hospital,452118,TX,0,0,0,0,0,0,0,0,0,0,0,HOUSTON METHODIST CONTINUING CARE HOSPITAL,0.0,0,HOUSTON METHODIST HOSPITAL,TX,HOUSTON,5.0,HOUSTON METHODIST HOSPITAL,Exact/fuzzy hospital name,100.0,Yes,BDC,HOUSTON METHODIST HOSPITAL,100.0,Fuzzy name
Continuecare Hospital At Medical Center Odessa,452121,TX,0,0,0,0,0,0,0,0,0,0,0,CONTINUECARE HOSPITAL MED CTR ODESSA,0.0,0,MEDICAL CENTER HOSPITAL,TX,ODESSA,3.0,MED CTR HOSPITAL,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
El Paso Ltac Hospital,452122,TX,0,0,0,0,0,0,0,0,0,0,0,EL PASO LTAC HOSPITAL,0.0,0,,,,,,No match,86.5,No,,Legent Hospital for Special Sx,62.7,Fuzzy name
Tirr Memorial Hermann,453025,TX,19428,18666,19452,19116,20034,20708,19023,20134,19121,19360,19334,TIRR MEMORIAL HERMANN,19488.727272727272,11,MEMORIAL HERMANN HOSPITAL SYSTEM,TX,HOUSTON,3.0,MEMORIAL HERMANN,Exact/fuzzy hospital name,100.0,Review,BDC,MEMORIAL HERMANN SW HOSPITAL,86.5,Fuzzy name
Encompass Health Rehabilitation Hospital Of Humble,453029,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL HUMBLE,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Encompass Health Rehabilitation Hospital Of San Antonio,453031,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL SAN ANTONIO,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Warm Springs Rehabilitation Hospital Of San Antonio,453035,TX,0,0,0,0,0,0,0,0,0,0,0,WARM SPRINGS REHABILITATION HOSPITAL SAN ANTONIO,0.0,0,,,,,,No match,80.0,No,,BS&W TEXAS SPINE & JOINT HOSPITAL,55.4,Fuzzy name
Encompass Health Rehabilitation Hospital Of Arlington,453040,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL ARLINGTON,0.0,0,,,,,,No match,80.0,No,,USMD Hospital at Arlington LP,81.8,Fuzzy name
Encompass Health Rehabilitation Hospital Of City View,453042,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL CITY VIEW,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Encompass Health Rehabilitation Hospital Of Plano,453047,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL PLANO,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Pam Rehabilitation Hospital Of Beaumont,453048,TX,0,0,0,0,0,0,0,0,0,0,0,PAM REHABILITATION HOSPITAL BEAUMONT,0.0,0,,,,,,No match,81.0,No,,Midland Memorial Hospital,59.0,Fuzzy name
Encompass Health Rehabilitation Hospital Of Texarkana,453053,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL TEXARKANA,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Encompass Health Rehabilitation Hospital Of Wichita Falls,453054,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL WICHITA FALLS,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
"Christus Trinity Mother Frances Rehabilitation Hospital, A Partner Of",453056,TX,0,0,0,0,0,0,0,0,0,0,0,CHRISTUS TRINITY MOTHER FRANCES REHABILITATION HOSPITAL A PARTNER,0.0,0,CHRISTUS MOTHER FRANCES HOSPITAL,TX,TYLER,4.0,CHRISTUS MOTHER FRANCES HOSPITAL,Exact/fuzzy hospital name,100.0,Review,BDC+,Christus Mother Frances Tyler,88.5,Fuzzy name
Encompass Health Rehabilitation Hospital Of Midland Odessa,453057,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL MIDLAND ODESSA,0.0,0,,,,,,No match,80.0,No,,Midland Memorial Hospital,78.0,Fuzzy name
Encompass Health Rehabilitation Hospital Of The Woodlands,453059,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL WOODLANDS,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Weslaco Regional Rehabilitation Hospital,453091,TX,0,0,0,0,0,0,0,0,0,0,0,WESLACO REGIONAL REHABILITATION HOSPITAL,0.0,0,,,,,,No match,87.2,No,,Texas Health Hospital Frisco,58.8,Fuzzy name
South Texas Rehabilitation Hospital,453092,TX,0,0,0,0,0,0,0,0,0,0,0,SOUTH TEXAS REHABILITATION HOSPITAL,0.0,0,SOUTH TEXAS HEALTH SYSTEM,TX,EDINBURG,4.0,SOUTH TEXAS,Exact/fuzzy hospital name,100.0,No,,TEXAS ORTHOPEDIC HOSPITAL,71.8,Fuzzy name
Vibra Rehabilitation Hospital Of Amarillo,453096,TX,0,0,0,0,0,0,0,0,0,0,0,VIBRA REHABILITATION HOSPITAL AMARILLO,0.0,0,,,,,,No match,84.2,No,,Texas Health Hospital Frisco,57.6,Fuzzy name
Covenant Children's Hospital,453306,TX,24799,23904,24955,24060,23852,25498,24007,24713,21335,21650,21466,COVENANT CHILDREN S HOSPITAL,23658.090909090908,11,COVENANT CHILDRENS HOSPITAL,TX,LUBBOCK,,COVENANT CHILDRENS HOSPITAL,CCN,,No,,MEMORIAL HERMANN SW HOSPITAL,60.7,Fuzzy name
"Healthbridge Children's Hospital - Houston, Ltd.",453309,TX,0,0,0,0,0,0,0,0,0,0,0,HEALTHBRIDGE CHILDREN S HOSPITAL HOUSTON LTD,0.0,0,HEALTHBRIDGE CHILDRENS'S HOSPITAL OF HOUSTON,TX,HOUSTON,,HEALTHBRIDGE CHILDRENS S HOSPITAL HOUSTON,CCN,,No,,HOUSTON METHODIST HOSPITAL,76.2,Fuzzy name
Texas Scottish Rite Hospital For Children,453314,TX,0,0,0,0,0,0,0,0,0,0,0,TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN,0.0,0,TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN,TX,DALLAS,,TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN,CCN,,No,,TEXAS ORTHOPEDIC HOSPITAL,71.8,Fuzzy name
University Dialysis West,453500,TX,5642,8175,8545,5932,8230,9097,7539,8845,8400,8505,8493,UNIVERSITY DIALYSIS WEST,7945.727272727273,11,UNIVERSITY HEALTH SYSTEM,TX,SAN ANTONIO,3.0,UNIVERSITY,Exact/fuzzy hospital name,100.0,No,,UT Southwestern University Hosp,61.8,Fuzzy name
Texas Health Fort Worth,459811,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH FORT WORTH,32096.090909090908,10,TEXAS HEALTH HARRIS METHODIST FORT WORTH,TX,FORT WORTH,4.0,TEXAS HEALTH HARRIS METHODIST FORT WORTH,Exact/fuzzy hospital name,100.0,No,,Texas Health Hospital Frisco,70.6,Fuzzy name
Parkland Health,045015,TX,0,0,0,0,0,0,0,0,0,0,0,PARKLAND HEALTH,0.0,0,PARKLAND HEALTH & HOSPITAL SYSTEM,TX,DALLAS,3.0,PARKLAND HEALTH AND,Exact/fuzzy hospital name,100.0,No,,Texas Health Hospital Frisco,57.1,Fuzzy name
St Joseph Medical Center,045035,TX,11322,10881,11352,11131,11679,12085,11077,11733,11130,11274,11266,ST JOSEPH MED CTR,11357.272727272728,11,ST JOSEPH MEDICAL CENTER,TX,HOUSTON,3.0,ST JOSEPH MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Jps Health Network,045039,TX,12060,11271,11689,11076,11380,12038,9089,10704,8361,8510,8631,JPS HEALTH NETWORK,10437.181818181818,11,JPS HEALTH NETWORK,TX,FORT WORTH,4.0,JPS HEALTH NETWORK,Exact/fuzzy hospital name,100.0,No,,Texas Health Hospital Frisco,50.0,Fuzzy name
Daughters Of Charity Health Services Of Waco/depaul Center,045042,TX,0,0,0,0,0,0,0,0,0,0,0,DAUGHTERS CHARITY HEALTH SERVICES WACO DEPAUL CENTER,0.0,0,,,,,,No match,63.2,No,,North Central Surgical Center,51.9,Fuzzy name
Northeast Baptist Hospital,045058,TX,14494,13926,14512,14262,14947,15449,14192,15022,14265,14444,14424,NORTHEAST BAPTIST HOSPITAL,14539.727272727272,11,,,,,,No match,81.8,No,,NORTH CENTRAL BAPTIST HOSPITAL,78.6,Fuzzy name
Pampa Regional Medical Center,045099,TX,8559,8225,8582,8415,8829,9136,8374,8870,8414,8523,8517,PAMPA REGIONAL MED CTR,8585.818181818182,11,PAMPA REGIONAL MEDICAL CENTER,TX,PAMPA,,PAMPA REGIONAL MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Wadley Regional Medical Center,045200,TX,10625,10211,10653,10446,10960,11340,10395,11010,10445,10580,10572,WADLEY REGIONAL MED CTR,10657.90909090909,11,WADLEY REGIONAL MEDICAL CENTER,TX,TEXARKANA,,WADLEY REGIONAL MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Harris Health - Ben Taub Psych,045289,TX,7976,7524,7852,8094,8055,7783,7762,8134,7628,7732,7671,HARRIS HEALTH BEN TAUB PSYCH,7837.363636363636,11,HARRIS HEALTH,TX,HOUSTON,3.0,HARRIS HEALTH,Exact/fuzzy hospital name,100.0,No,,TX Health Harris Meth Hosp SW Fw,63.4,Fuzzy name
Oakbend Medical Center,045330,TX,8823,8323,8686,8954,8910,8610,8586,8998,8439,8553,8486,OAKBEND MED CTR,8669.818181818182,11,OAKBEND MEDICAL CENTER,TX,RICHMOND,3.0,OAKBEND MED CTR,Exact/fuzzy hospital name,100.0,No,,HENDRICK MEDICAL CENTER,71.0,Fuzzy name
Baptist Beaumont Hospital,045346,TX,6145,5905,6161,6042,6339,6559,6012,6368,6041,6119,6115,BAPTIST BEAUMONT HOSPITAL,6164.181818181818,11,BAPTIST BEAUMONT HOSPITAL,TX,BEAUMONT,3.0,BAPTIST BEAUMONT HOSPITAL,Exact/fuzzy hospital name,100.0,No,,NORTH CENTRAL BAPTIST HOSPITAL,78.0,Fuzzy name
