BCBS_Hospital_Name,BCBS_State,BCBS_Designation,BCBS_Page,BCBS_Source_Row,BCBS_Normalized_Name
Fresno Community Hospital And Medical Center,CA,BDC,4,Fresno Community Hospital And Medical Center | 15 E Audubon Dr | Fresno | CA | 93720-1542 | BDC | No | Hospital,FRESNO COMMUNITY HOSPITAL AND MED CTR
Grossmont Hospital,CA,BDC,4,Grossmont Hospital | 5555 GROSSMONT CENTER DR | LA MESA | CA | 91942 | BDC | No | Hospital,GROSSMONT HOSPITAL
Hoag Orthopedic Institute,CA,BDC,4,Hoag Orthopedic Institute | 16250 Sand Canyon Ave | Irvine | CA | 92618 | BDC | No | Hospital,HOAG ORTHOPEDIC INSTITUTE
Hoag Orthopedic Institute,CA,BDC+,4,Hoag Orthopedic Institute | 16250 Sand Canyon Ave | Irvine | CA | 92618 | BDC+ | No | Hospital,HOAG ORTHOPEDIC INSTITUTE
KAWEAH DELTA DISTRICT HOSP,CA,BDC+,4,KAWEAH DELTA DISTRICT HOSP | 400 W MINERAL KING AVE | VISALIA | CA | 93291 | BDC+ | Yes | Hospital,KAWEAH DELTA DISTRICT HOSP
Loma Linda University Med Ctr,CA,BDC,4,Loma Linda University Med Ctr | 11234 Anderson St | Loma Linda | CA | 92354 | BDC | No | Hospital,LOMA LINDA UNIVERSITY MED CTR
Long Beach Memorial Med Ctr,CA,BDC,4,Long Beach Memorial Med Ctr | 2801 Atlantic Ave | Long Beach | CA | 90806 | BDC | No | Hospital,LONG BEACH MEMORIAL MED CTR
Long Beach Memorial Med Ctr,CA,BDC+,4,Long Beach Memorial Med Ctr | 2801 Atlantic Ave | Long Beach | CA | 90806 | BDC+ | No | Hospital,LONG BEACH MEMORIAL MED CTR
Marian Regional Medical C,CA,BDC,4,Marian Regional Medical C | 1400 E Church St | Santa Maria | CA | 93454-5906 | BDC | Yes | Hospital,MARIAN REGIONAL MEDICAL C
Mercy Hospital Bakersfield,CA,BDC,4,Mercy Hospital Bakersfield | 2215 Truxtun Ave | Bakersfield | CA | 93301 | BDC | Yes | Hospital,MERCY HOSPITAL BAKERSFIELD
MERCY MEDICAL CENTER REDDING,CA,BDC,5,MERCY MEDICAL CENTER REDDING | 2175 ROSALINE AVE | REDDING | CA | 96001 | BDC | No | Hospital,MERCY MED CTR REDDING
Orange Coast Mem Med Ctr,CA,BDC,5,Orange Coast Mem Med Ctr | 9920 Talbert Ave | Fountain Valley | CA | 92708 | BDC | Yes | Hospital,ORANGE COAST MEM MED CTR
